"clusters","silhouette_width","sums_of_squares"
"1",0,248.903834937583
"2",0.431499526177147,132.125352959116
"3",0.401119703752381,90.4784195904317
"4",0.393982918775058,72.6369804779875
"5",0.369006994695645,59.9162233982856
"6",0.356742318270356,52.1689075772766
"7",0.329464520507726,45.3806460142691
"8",0.344406747979564,41.3179115207533
"9",0.334462371097068,38.6706514249579
"10",0.340368252604157,34.7594001684653
"11",0.33586673835041,32.9981275220782
"12",0.324491643542856,30.9560447661347
"13",0.328369019199083,29.2554027449045
"14",0.323853363660439,27.8653527427977
"15",0.309109892891572,26.7798196471427
"16",0.317093089689035,25.6823585502658
"17",0.300514417964042,24.5014998098383
"18",0.299677678552323,23.8072185184622
"19",0.294398529230198,22.6655350389831
"20",0.291857286309123,22.064159284157
"21",0.299834133474079,21.3672814406865
"22",0.303087365257247,20.6399189180783
"23",0.288114966018479,20.2117336526066
"24",0.290553907995518,19.371322236554
"25",0.29368215149517,18.9489743087293
"26",0.286942950539408,18.7024044544605
"27",0.281489084172529,18.2607117891322
"28",0.285887862987181,17.7707308582583
"29",0.277303373271485,17.4842646161388
"30",0.285442685127728,16.8172755048728
"31",0.279024616400789,16.6776698082272
"32",0.280156056756687,16.2385182203742
"33",0.275224656965027,15.8961581962644
"34",0.276837620680655,15.5519487972798
"35",0.28026188152774,15.2353346014758
"36",0.279281707240616,15.0027072139527
"37",0.281966032254335,14.6268049574119
"38",0.277697904219218,14.4585462590899
"39",0.27868335786338,14.1663045491217
"40",0.277029927396741,13.9471535123723
