"clusters","silhouette_width","sums_of_squares"
"1",0,246.761124533852
"2",0.425003345293613,132.78087618936
"3",0.393540931599319,91.258452974306
"4",0.377060327273219,72.9823743285164
"5",0.362978524998389,60.5133031302654
"6",0.363550389844438,52.5389243196443
"7",0.348983099785233,45.7070865218937
"8",0.33729799562681,41.8218199844527
"9",0.338356839860332,38.0997450620558
"10",0.339796100647122,35.1969381718009
"11",0.323982321109423,33.3339578109445
"12",0.338586106841715,31.2307240266936
"13",0.326624832891996,29.7218148165354
"14",0.319008979109029,28.0971554613843
"15",0.31851641462641,26.935726387863
"16",0.301888300195608,25.666022359565
"17",0.306520590974909,24.6567458313919
"18",0.299478051929621,23.991157113179
"19",0.297232238202732,23.7184657638435
"20",0.301257928876596,22.5542604669564
"21",0.289632391233651,21.902552518967
"22",0.288360983984989,20.8761684610607
"23",0.285790762481061,20.3385899007023
"24",0.28879410776228,19.7131077228243
"25",0.287105275627292,19.2186746820537
"26",0.287285780547111,18.6017110183288
"27",0.287446789971063,18.3059994160606
"28",0.285332964984675,17.8170451328976
"29",0.281361701170479,17.4911308405913
"30",0.282097813894152,16.9633360706421
"31",0.278288671973158,16.6908049476839
"32",0.280723265843844,16.2641993289297
"33",0.282450093480108,15.9599151506419
"34",0.276227437099835,15.7905900990271
"35",0.279738327622737,15.4925385355598
"36",0.277187536717802,15.0570481533784
"37",0.279871525716018,14.7345230004871
"38",0.274005243770017,14.595299909672
"39",0.277173024356834,14.3010000684479
"40",0.275876895861721,14.0083985593432
