"clusters","silhouette_width","sums_of_squares"
"1",0,249.670307369202
"2",0.429943126586117,133.165377430047
"3",0.399545716122922,90.614243872764
"4",0.38148649909905,72.6914193984853
"5",0.367585774085115,59.7875804269444
"6",0.354363523222073,51.9893288620732
"7",0.338679938675326,45.2046264373054
"8",0.347111712243087,41.1531499280551
"9",0.334870145475806,37.4788968035976
"10",0.342589077397062,34.7220439819064
"11",0.324107138961207,32.9383716653998
"12",0.339932063307651,30.9196509418815
"13",0.32512930403108,29.595115384866
"14",0.326642591994325,27.9868441832139
"15",0.319086376403969,26.6955512448678
"16",0.303633454786598,25.5890655066757
"17",0.301512028487701,24.4676431177967
"18",0.294074967810229,23.7164895614985
"19",0.29940035232303,22.9005954148973
"20",0.29031304393543,22.0908952350142
"21",0.294286531320091,21.3627629289897
"22",0.289187181106352,20.8397145662383
"23",0.293153189464243,20.0066926347631
"24",0.290849866520568,19.5190753852824
"25",0.291335286680284,19.1196494299724
"26",0.288415639072752,18.4639535635977
"27",0.290129315800843,17.9758195965001
"28",0.292773339990526,17.7702536661422
"29",0.287665323248788,17.1505041468824
"30",0.288612919649478,16.8708529303036
"31",0.278270705969813,16.333612818247
"32",0.28557382177327,16.0956293410428
"33",0.286170731010594,15.8661722162804
"34",0.279365383341172,15.4686437969691
"35",0.280737899443539,15.0946904697185
"36",0.283641265874094,14.7951999942788
"37",0.280430801907799,14.949869655098
"38",0.280677638068291,14.3766486778972
"39",0.275793611158917,14.0729367345342
"40",0.277233602594129,13.9189526790808
