"clusters","silhouette_width","sums_of_squares"
"1",0,246.633374824487
"2",0.427238938109979,131.98043724563
"3",0.397760168270618,90.4160475743114
"4",0.388722687859595,72.3174221756817
"5",0.365556694064982,59.7910442363022
"6",0.365588467441454,51.8664970892789
"7",0.351057738852805,45.2716592117161
"8",0.34487457825752,41.3181346007043
"9",0.33170001598791,37.6270100683109
"10",0.337969085380162,34.8840424531246
"11",0.337272342588275,33.0654966908816
"12",0.323205600835403,30.9660093452883
"13",0.318382405254746,29.4091512707081
"14",0.324782146484365,28.0054170801755
"15",0.308869570808639,26.6414900871889
"16",0.315456341135001,25.5463628843703
"17",0.29907444701915,24.4593531915166
"18",0.302803421278036,23.7887315740709
"19",0.289508051387132,22.9649536765998
"20",0.288399180028229,22.1987580749381
"21",0.291367306747946,21.6304181745076
"22",0.288923140977563,20.7510928248959
"23",0.283925492140161,20.157133571328
"24",0.300724400683765,19.7259279013257
"25",0.287547196485974,19.1954589145764
"26",0.284643544933565,18.585607521961
"27",0.282529304766732,18.0237654432727
"28",0.279095921879634,17.8295641684652
"29",0.286471786066744,17.4295063653735
"30",0.286926077664515,16.780681468456
"31",0.281804927236027,16.4922823406019
"32",0.279717137467019,16.2097481101981
"33",0.281748657178998,15.8940661936167
"34",0.282623321608429,15.6308017267269
"35",0.276617176112374,15.3366155189375
"36",0.274846398866701,15.0669653324718
"37",0.276250429308648,14.6309914491654
"38",0.272115966889829,14.3493583230722
"39",0.276437378780186,14.1872687657113
"40",0.276129693626016,13.8923280555856
